IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
198.41.198.151,4,4,0.00,5.17,168.75
198.41.193.167,4,4,0.00,5.16,159.35
198.41.196.200,4,4,0.00,5.16,123.40
104.24.145.129,4,4,0.00,5.22,101.07
172.64.87.101,4,4,0.00,5.16,51.44
